Time (sec),latitude(deg),longitude(deg),X (m),Y (m),height(m),sdn(m),sde(m),sdu(m),Vn(km/h),Vn (m/s),Ve(km/h),Ve(m/s),Vd(km/h),Vu(m/s)
1,45.96110148,-66.62689122,683882.3328,5092463.889,-16.2781,4.5774,3.3034,8.4881,0.05,0.013888889,0.01,0.002777778,-0.035,0.009722222
2,45.96110208,-66.62689144,683882.3138,5092463.955,-16.2921,4.5781,3.3032,8.4876,0.062,0.017222222,0.012,0.003333333,-0.035,0.009722222
3,45.96110326,-66.6268922,683882.251,5092464.085,-16.3845,4.5787,3.3031,8.4871,0.072,0.02,0.011,0.003055556,-0.035,0.009722222
4,45.96110396,-66.6268912,683882.3262,5092464.165,-16.6144,4.5793,3.3029,8.4865,0.081,0.0225,0.008,0.002222222,-0.035,0.009722222
5,45.96110558,-66.62688975,683882.4332,5092464.348,-16.7938,4.5799,3.3027,8.486,0.082,0.022777778,0.003,0.000833333,-0.035,0.009722222
6,45.96110543,-66.62688932,683882.467,5092464.332,-17.0019,4.5805,3.3026,8.4855,0.082,0.022777778,-0.004,-0.001111111,-0.035,0.009722222
7,45.96110525,-66.62688891,683882.4993,5092464.313,-17.2269,4.5811,3.3024,8.485,0.085,0.023611111,-0.015,-0.004166667,-0.035,0.009722222
8,45.96110479,-66.62688784,683882.5838,5092464.265,-17.4081,4.5818,3.3022,8.4844,0.087,0.024166667,-0.027,-0.0075,-0.034,0.009444444
9,45.9611058,-66.62688757,683882.6014,5092464.377,-17.2958,4.5824,3.3021,8.4839,0.088,0.024444444,-0.041,-0.011388889,-0.034,0.009444444
10,45.96110371,-66.6268887,683882.5207,5092464.143,-16.9244,4.583,3.3019,8.4834,0.086,0.023888889,-0.053,-0.014722222,-0.033,0.009166667
11,45.96110398,-66.62688956,683882.4532,5092464.171,-16.9481,4.5836,3.3017,8.4829,0.081,0.0225,-0.063,-0.0175,-0.034,0.009444444
12,45.96110338,-66.62688993,683882.4265,5092464.103,-17.2022,4.5842,3.3016,8.4823,0.07,0.019444444,-0.072,-0.02,-0.033,0.009166667
13,45.96110219,-66.6268904,683882.394,5092463.97,-17.1819,4.5848,3.3014,8.4818,0.058,0.016111111,-0.077,-0.021388889,-0.033,0.009166667
14,45.96110117,-66.62689007,683882.423,5092463.857,-17.0546,4.5854,3.3013,8.4813,0.046,0.012777778,-0.083,-0.023055556,-0.035,0.009722222
15,45.96110058,-66.62688997,683882.4327,5092463.792,-17.1275,4.5861,3.3011,8.4808,0.035,0.009722222,-0.086,-0.023888889,-0.034,0.009444444
