Time,DKF,GNSS,F180
1,-15.60171051,-16.2781,-20.546
2,-15.61571051,-16.2921,-20.546
3,-15.70811051,-16.3845,-20.546
4,-15.93801051,-16.6144,-20.547
5,-16.11741051,-16.7938,-20.548
6,-16.32551051,-17.0019,-20.55
7,-16.55051051,-17.2269,-20.552
8,-16.73198828,-17.4081,-20.553
9,-16.61968828,-17.2958,-20.555
10,-16.24856606,-16.9244,-20.555
11,-16.27198828,-16.9481,-20.555
12,-16.52636606,-17.2022,-20.554
13,-16.50606606,-17.1819,-20.552
14,-16.37821051,-17.0546,-20.549
15,-16.45138828,-17.1275,-20.548
16,-16.44888828,-17.125,-20.547
17,-16.33891051,-17.0153,-20.546
18,-16.23126606,-16.9071,-20.547
19,-16.13128828,-16.8074,-20.547
20,-15.73951051,-16.4159,-20.547
21,-15.74121051,-16.4176,-20.548
22,-15.82161051,-16.498,-20.551
23,-16.12511051,-16.8015,-20.553
24,-16.42373273,-17.1004,-20.555
25,-16.42365495,-17.1006,-20.557
26,-16.28405495,-16.961,-20.556
27,-16.37337717,-17.0506,-20.555
28,-16.58097717,-17.2582,-20.554
29,-16.68869939,-17.3662,-20.552
30,-16.73399939,-17.4115,-20.55
31,-16.72872162,-17.4065,-20.55
32,-16.67442162,-17.3522,-20.549
33,-15.81266606,-16.491,-20.548
34,-15.78066606,-16.459,-20.548
35,-15.8823105,-16.5612,-20.548
36,-16.1261105,-16.805,-20.549
37,-16.36683273,-17.046,-20.549
38,-16.61975495,-17.2992,-20.549
39,-16.80665495,-17.4861,-20.55
40,-16.81815495,-17.4976,-20.549
41,-16.57267717,-17.2524,-20.548
42,-16.48739939,-17.1674,-20.549
43,-16.58789939,-17.2679,-20.549
44,-16.37622161,-17.0565,-20.549
45,-16.30674384,-16.9873,-20.549
46,-16.44174384,-17.1223,-20.549
47,-16.39496606,-17.0758,-20.548
48,-16.21896606,-16.8998,-20.547
49,-16.26346606,-16.9443,-20.545
50,-16.56516606,-17.246,-20.544
51,-16.55976606,-17.2406,-20.543
52,-16.30496606,-16.9858,-20.541
53,-16.17944384,-16.86,-20.541
54,-16.13944384,-16.82,-20.542
55,-16.50834384,-17.1889,-20.543
56,-16.64414384,-17.3247,-20.545
57,-16.19272161,-16.873,-20.546
58,-16.22029939,-16.9003,-20.547
59,-16.37529939,-17.0553,-20.548
60,-16.66297717,-17.3427,-20.55
61,-16.92865495,-17.6081,-20.551
62,-16.72765495,-17.4071,-20.553
63,-16.68063272,-17.3598,-20.552
64,-16.63393272,-17.3131,-20.551
65,-16.4584105,-17.1373,-20.552
66,-16.49058828,-17.1692,-20.551
67,-16.15036606,-16.8287,-20.552
68,-15.90514383,-16.5832,-20.552
69,-15.70072161,-16.3785,-20.552
70,-15.83922161,-16.517,-20.552
71,-16.11987717,-16.7971,-20.552
72,-16.37183272,-17.0485,-20.552
73,-16.78073272,-17.4574,-20.553
74,-16.81918828,-17.4953,-20.552
75,-17.23534383,-17.9109,-20.552
76,-16.88372161,-17.559,-20.553
77,-16.75039939,-17.4254,-20.553
78,-16.82645495,-17.5009,-20.554
79,-16.71453272,-17.3887,-20.554
80,-16.2918105,-16.9657,-20.553
81,-16.23766606,-16.911,-20.553
82,-16.37494383,-17.048,-20.552
83,-16.38372161,-17.0565,-20.552
84,-16.08339939,-16.7559,-20.551
85,-16.24467717,-16.9169,-20.549
86,-16.40495494,-17.0769,-20.549
87,-16.32433272,-16.996,-20.548
88,-16.6988105,-17.3702,-20.548
89,-16.5891105,-17.2605,-20.547
90,-16.86048828,-17.5316,-20.548
91,-17.00376606,-17.6746,-20.548
92,-17.10262161,-17.7729,-20.549
93,-16.97152161,-17.6418,-20.55
94,-16.88269939,-17.5527,-20.551
95,-16.88147717,-17.5512,-20.552
96,-17.06055494,-17.73,-20.553
97,-17.04215494,-17.7116,-20.553
98,-17.17123272,-17.8404,-20.553
99,-17.0504105,-17.7193,-20.555
100,-16.8430105,-17.5119,-20.555
101,-16.7025105,-17.3714,-20.555
102,-16.41308828,-17.0817,-20.558
103,-16.17328828,-16.8419,-20.558
104,-16.16786605,-16.8362,-20.556
105,-15.65046605,-16.3188,-20.548
106,-15.94364383,-16.6117,-20.548
107,-15.89272161,-16.5605,-20.551
108,-16.01002161,-16.6778,-20.553
109,-16.22769939,-16.8952,-20.556
110,-16.39437716,-17.0616,-20.558
111,-16.34327716,-17.0105,-20.56
112,-16.33657716,-17.0038,-20.562
113,-16.54445494,-17.2114,-20.565
114,-16.55955494,-17.2265,-20.567
115,-16.61499939,-17.2825,-20.573
116,-16.88929939,-17.5568,-20.575
117,-16.95153272,-17.6182,-20.577
118,-17.17765494,-17.8446,-20.58
119,-17.07535494,-17.7423,-20.583
120,-16.98643272,-17.6531,-20.585
121,-16.83513272,-17.5018,-20.589
122,-16.85263272,-17.5193,-20.593
123,-17.01083272,-17.6775,-20.598
124,-17.14443272,-17.8111,-20.607
125,-16.9424105,-17.6088,-20.612
126,-16.9814105,-17.6478,-20.616
127,-16.86473272,-17.5314,-20.62
128,-16.9640105,-17.6304,-20.622
129,-16.8965105,-17.5629,-20.625
130,-16.7216105,-17.388,-20.631
131,-16.74043272,-17.4071,-20.637
132,-16.67913272,-17.3458,-20.644
133,-17.06173272,-17.7284,-20.648
134,-17.19433272,-17.861,-20.649
135,-17.25133272,-17.918,-20.653
136,-17.08273272,-17.7494,-20.659
137,-16.90523272,-17.5719,-20.662
138,-16.55695494,-17.2239,-20.665
139,-16.98305494,-17.65,-20.67
140,-16.63795494,-17.3049,-20.672
141,-16.48035494,-17.1473,-20.674
142,-16.67055494,-17.3375,-20.676
143,-17.05299939,-17.7205,-20.675
144,-17.07992161,-17.7477,-20.674
145,-17.08282161,-17.7506,-20.675
146,-17.21472161,-17.8825,-20.679
147,-16.96912161,-17.6369,-20.682
148,-16.91584383,-17.5839,-20.687
149,-17.17674383,-17.8448,-20.692
