,X,Y,H
0,683882.253777778,5092464.098888889,-16.374777778
1,683882.257111111,5092464.116111111,-16.365055555999998
2,683882.2601666669,5092464.13611111,-16.355333333999997
3,683882.262388889,5092464.15861111,-16.345611111999997
4,683882.263222222,5092464.1813888885,-16.335888889999996
5,683882.262111111,5092464.204166667,-16.326166667999995
6,683882.257944444,5092464.227777777,-16.316444445999995
7,683882.250444444,5092464.251944444,-16.307000001999995
8,683882.239055555,5092464.276388888,-16.297555557999996
9,683882.224333333,5092464.300277777,-16.288388890999997
10,683882.206833333,5092464.322777777,-16.278944446999997
11,683882.186833333,5092464.342222221,-16.26977778
12,683882.1654444439,5092464.358333332,-16.260611113
13,683882.1423888879,5092464.371111111,-16.250888891
14,683882.1184999989,5092464.380833332,-16.241444447
15,683882.0943333319,5092464.386944443,-16.232000003
16,683882.0698888879,5092464.390833332,-16.222277781
17,683882.0454444439,5092464.3930555545,-16.213111114
18,683882.0201666659,5092464.394444443,-16.20366667
19,683881.9948888879,5092464.395833332,-16.193944448
20,683881.9684999989,5092464.397777776,-16.184222226
21,683881.94211111,5092464.401111109,-16.174500004
22,683881.91461111,5092464.405833331,-16.164777781999998
23,683881.887388888,5092464.411388887,-16.154777781999996
24,683881.861277777,5092464.416111109,-16.144500003999998
25,683881.83711111,5092464.419999998,-16.134222226
26,683881.814888888,5092464.423611109,-16.12366667
27,683881.795444444,5092464.42611111,-16.113111114
28,683881.7787777771,5092464.428333332,-16.102277780999998
29,683881.7646111101,5092464.429999999,-16.091444447999997
30,683881.752666666,5092464.431666666,-16.080333336999995
31,683881.742666666,5092464.432777776,-16.069222225999994
32,683881.735444444,5092464.4330555545,-16.057555558999994
33,683881.730444444,5092464.4330555545,-16.045888891999994
34,683881.726833333,5092464.432777776,-16.033666669999995
35,683881.7235000001,5092464.431111109,-16.021444447999997
36,683881.7198888891,5092464.428611109,-16.008944447999998
37,683881.7165555562,5092464.426111109,-15.996166669999997
38,683881.7132222232,5092464.423333331,-15.983388891999997
39,683881.7096111123,5092464.421666664,-15.970611113999997
40,683881.7048888903,5092464.421666664,-15.957555557999997
41,683881.6987777792,5092464.423333331,-15.944222224999997
42,683881.6910000013,5092464.426666664,-15.930888891999997
43,683881.6815555573,5092464.431666664,-15.917277780999997
44,683881.6704444463,5092464.438611108,-15.903388891999997
45,683881.6582222242,5092464.448055552,-15.889500002999997
46,683881.6448888913,5092464.459444441,-15.875333335999997
47,683881.6307222242,5092464.472777774,-15.861166668999997
48,683881.6154444462,5092464.488611107,-15.847000001999998
49,683881.5993333352,5092464.506944439,-15.832833334999998
50,683881.5821111131,5092464.527222217,-15.818666667999999
51,683881.5635000021,5092464.548333328,-15.804500001
52,683881.5443333351,5092464.569166661,-15.790611111999999
53,683881.5243333351,5092464.589722217,-15.776722222999998
54,683881.5040555571,5092464.609722217,-15.762833333999998
55,683881.483222224,5092464.629444439,-15.748944444999998
56,683881.462388891,5092464.649999995,-15.735333333999998
57,683881.441555558,5092464.672222217,-15.722000000999998
58,683881.421555558,5092464.69555555,-15.708666667999998
59,683881.402388891,5092464.719166661,-15.695611111999998
60,683881.38377778,5092464.743055549,-15.682833333999998
61,683881.367111113,5092464.767499994,-15.670055555999998
62,683881.352944446,5092464.792499994,-15.657555555999998
63,683881.342111113,5092464.817499994,-15.645055555999999
64,683881.335166669,5092464.842777772,-15.632833333999999
65,683881.331555558,5092464.866666661,-15.62088889
66,683881.331833336,5092464.888611104,-15.609222223
67,683881.335166669,5092464.908333327,-15.597833334
68,683881.339333336,5092464.924722216,-15.586722223
69,683881.34377778,5092464.938333327,-15.575611112
70,683881.3482222239,5092464.94916666,-15.565055556
71,683881.3523888909,5092464.957777771,-15.555055556000001
72,683881.3562777799,5092464.962777771,-15.545055556000001
73,683881.3598888909,5092464.96416666,-15.535611112000002
74,683881.3629444469,5092464.963055549,-15.526722223000002
75,683881.3654444468,5092464.959999993,-15.518111112000001
76,683881.3671111139,5092464.955833326,-15.509777779000002
77,683881.3671111139,5092464.951944437,-15.502000001000003
78,683881.3657222248,5092464.948333326,-15.494500001000002
79,683881.3623888919,5092464.945833325,-15.487277779000003
80,683881.3576666699,5092464.944166658,-15.480611112000004
81,683881.3521111138,5092464.94388888,-15.474222223000003
82,683881.3457222248,5092464.944999991,-15.468111112000004
83,683881.3390555579,5092464.948333324,-15.462277779000004
84,683881.3318333358,5092464.952777768,-15.456722223000005
85,683881.3243333359,5092464.957777767,-15.451444445000005
86,683881.3165555579,5092464.963611101,-15.446444445000004
87,683881.3093333358,5092464.9699999895,-15.441722223000005
88,683881.3032222248,5092464.9761111,-15.437000001000005
89,683881.2982222248,5092464.981388878,-15.432555557000004
90,683881.2948888919,5092464.984722211,-15.428388890000004
91,683881.2929444478,5092464.985833322,-15.424777779000005
92,683881.2918333368,5092464.984999989,-15.421166668000005
93,683881.2910000038,5092464.982499989,-15.417833335000005
94,683881.2907222258,5092464.978333321,-15.414777779000005
95,683881.2912777818,5092464.971666655,-15.412000001000004
96,683881.2923888928,5092464.9627777655,-15.409222223000004
97,683881.2935000039,5092464.952222209,-15.406722223000004
98,683881.2935000039,5092464.941388876,-15.404500001000004
99,683881.2921111148,5092464.931388876,-15.402277779000004
100,683881.2896111149,5092464.923055544,-15.400055557000004
101,683881.2862777819,5092464.915555543,-15.398111113000004
102,683881.2821111149,5092464.908611099,-15.396166669000005
103,683881.2765555589,5092464.9038888775,-15.394500002000004
104,683881.2696111149,5092464.901666655,-15.392833335000004
105,683881.2610000039,5092464.9022222115,-15.391444446000005
106,683881.2515555599,5092464.905555544,-15.390333335000005
107,683881.2412777819,5092464.910555544,-15.389222224000005
108,683881.2298888928,5092464.917222211,-15.388388891000005
109,683881.2168333369,5092464.925555544,-15.387833335000005
110,683881.2015555588,5092464.935277766,-15.387277779000005
111,683881.1835000028,5092464.946666654,-15.386722223000005
112,683881.1621111138,5092464.9594444325,-15.386444445000006
113,683881.1382222248,5092464.973055543,-15.386166667000007
114,683881.1132222248,5092464.987777766,-15.385333334000007
115,683881.0832222247,5092465.003611099,-15.384500001000008
116,683881.0493333357,5092465.018888877,-15.384500001000008
117,683881.0140555577,5092465.033333321,-15.384222223000009
118,683880.9773888907,5092465.047499988,-15.38394444500001
119,683880.9396111127,5092465.061111099,-15.38394444500001
120,683880.8998888907,5092465.073888877,-15.38394444500001
121,683880.8590555576,5092465.086388878,-15.38394444500001
122,683880.8185000017,5092465.0986111,-15.38394444500001
123,683880.7796111127,5092465.109999988,-15.38394444500001
124,683880.7446111126,5092465.120277766,-15.384222223000009
125,683880.7137777796,5092465.129444433,-15.384500001000008
126,683880.6873888907,5092465.1383333225,-15.384500001000008
127,683880.6651666687,5092465.147222212,-15.384777779000007
128,683880.6473888907,5092465.155277767,-15.385055557000006
129,683880.6337777798,5092465.163055546,-15.385333335000006
130,683880.6243333358,5092465.170277768,-15.385333335000006
131,683880.6185000028,5092465.175555546,-15.385333335000006
132,683880.6162777807,5092465.178333323,-15.385333335000006
133,683880.6179444478,5092465.179722212,-15.385333335000006
134,683880.6221111148,5092465.179166656,-15.385333335000006
135,683880.6276666708,5092465.177499989,-15.385333335000006
136,683880.6340555599,5092465.176388878,-15.385333335000006
137,683880.6410000039,5092465.177777767,-15.385055557000006
138,683880.6476666708,5092465.1819444345,-15.384777779000007
139,683880.6537777819,5092465.188611101,-15.384500001000008
140,683880.6585000039,5092465.196944434,-15.384222223000009
141,683880.6615555598,5092465.205833323,-15.38394444500001
142,683880.6626666709,5092465.214999991,-15.38311111200001
143,683880.6623888928,5092465.2236111015,-15.38200000100001
144,683880.6607222258,5092465.231944434,-15.38088889000001
145,683880.6571111148,5092465.239722213,-15.37977777900001
146,683880.6510000038,5092465.246666657,-15.37866666800001
147,683880.6421111148,5092465.25249999,-15.37727777900001
148,683880.6307222258,5092465.25749999,-15.375888890000011
149,683880.6168333368,5092465.261388879,-15.374222223000011
150,683880.6001666698,5092465.263333323,-15.37255555600001
151,683880.5812777808,5092465.264166656,-15.37088888900001
152,683880.5601666698,5092465.263333323,-15.36922222200001
153,683880.5376666698,5092465.260555546,-15.36727777800001
154,683880.5140555588,5092465.256666657,-15.36505555600001
155,683880.4898888918,5092465.251666657,-15.363111112000011
156,683880.4651666698,5092465.245555546,-15.36144444500001
157,683880.4407222258,5092465.238888879,-15.35922222300001
158,683880.4162777818,5092465.2322222125,-15.35700000100001
159,683880.3921111148,5092465.225833324,-15.35477777900001
160,683880.3687777818,5092465.220277768,-15.35227777900001
161,683880.3462777819,5092465.215555546,-15.34977777900001
162,683880.3246111149,5092465.211944435,-15.347277779000011
163,683880.3040555589,5092465.210555546,-15.344777779000012
164,683880.2854444479,5092465.2113888785,-15.342000001000011
165,683880.2682222258,5092465.2147222115,-15.33922222300001
166,683880.2529444478,5092465.220555545,-15.33644444500001
167,683880.2393333368,5092465.227777767,-15.33366666700001
168,683880.2271111148,5092465.236388878,-15.33088888900001
169,683880.2151666707,5092465.247222211,-15.328111111000009
170,683880.2029444487,5092465.261944434,-15.32505555500001
171,683880.1901666707,5092465.280555544,-15.321722222000009
172,683880.1771111147,5092465.302777766,-15.318388889000008
173,683880.1632222257,5092465.328333322,-15.315055556000008
174,683880.1487777818,5092465.357222211,-15.311722223000007
175,683880.1329444487,5092465.389444432,-15.308388890000007
176,683880.1157222267,5092465.424166654,-15.304777779000007
177,683880.0973888937,5092465.459722211,-15.301166668000008
178,683880.0773888937,5092465.494999989,-15.297277779000007
179,683880.0560000046,5092465.529166656,-15.293666668000007
180,683880.0335000047,5092465.562499989,-15.289777779000007
181,683880.0101666717,5092465.594444433,-15.285888890000006
182,683879.9860000047,5092465.625277766,-15.282000001000005
183,683879.9610000047,5092465.654444433,-15.278111112000005
184,683879.9360000046,5092465.681944433,-15.274222223000004
185,683879.9118333376,5092465.706944433,-15.270055556000004
186,683879.8882222266,5092465.729444433,-15.265888889000005
187,683879.8654444487,5092465.749166655,-15.261444445000004
188,683879.8437777817,5092465.766944434,-15.257000001000003
189,683879.8229444487,5092465.783055545,-15.252555557000003
190,683879.8026666706,5092465.798333323,-15.247833335000003
191,683879.7823888926,5092465.812777767,-15.243388891000002
192,683879.7621111146,5092465.826388878,-15.238666669000002
193,683879.7426666706,5092465.839722211,-15.233944447000002
194,683879.7246111146,5092465.852222211,-15.228944447000002
195,683879.7087777816,5092465.863055544,-15.223944447000001
196,683879.6951666706,5092465.871944433,-15.218666669000001
197,683879.6843333376,5092465.8786111,-15.213666669
198,683879.6765555596,5092465.882499989,-15.208666669
199,683879.6718333376,5092465.884166656,-15.203388891
200,683879.6696111156,5092465.884722212,-15.198111113
201,683879.6690555596,5092465.88499999,-15.192833335
202,683879.6690555596,5092465.886111101,-15.187277779
203,683879.6690555596,5092465.888611102,-15.181722223000001
204,683879.6690555596,5092465.893055545,-15.176166667000002
205,683879.6685000035,5092465.899166656,-15.170333334000002
206,683879.6668333365,5092465.907222211,-15.164500001000002
207,683879.6635000035,5092465.917222211,-15.158666668000002
208,683879.6596111145,5092465.930277768,-15.152833335000002
209,683879.6548888925,5092465.946388879,-15.147000002000002
210,683879.6498888925,5092465.9647222115,-15.141166669000002
211,683879.6446111145,5092465.984722211,-15.135055558000003
212,683879.6396111145,5092466.006388878,-15.129222225000003
213,683879.6340555585,5092466.029166657,-15.123111114000004
214,683879.6273888915,5092466.0516666565,-15.116722225000004
215,683879.6193333355,5092466.073055546,-15.110333336000004
216,683879.6098888916,5092466.092222213,-15.103944447000003
217,683879.6001666696,5092466.108888879,-15.097555558000003
218,683879.5912777806,5092466.12249999,-15.091166669000003
219,683879.5832222246,5092466.133611102,-15.084777780000003
220,683879.5757222247,5092466.1419444345,-15.078388891000003
221,683879.5690555577,5092466.147777768,-15.072000002000003
222,683879.5637777797,5092466.151111101,-15.065611113000003
223,683879.5596111127,5092466.152777768,-15.059222224000003
224,683879.5562777797,5092466.154722212,-15.053111113000003
225,683879.5532222238,5092466.157222212,-15.047000002000004
226,683879.5504444458,5092466.159722213,-15.040888891000005
227,683879.5482222238,5092466.161944435,-15.034777780000006
228,683879.5465555567,5092466.164166657,-15.028388891000006
229,683879.5448888896,5092466.167222213,-15.022000002000006
230,683879.5423888897,5092466.171666657,-15.015611113000006
231,683879.5387777787,5092466.178333323,-15.008944446000006
