X,Y,Z,Latitude,Longitude,Altitude (m)
683881.224749878,5092463.8059618,-20.495,45.96110103,-66.62690554,-20.495
683881.225259928,5092463.81487312,-20.497,45.96110111,-66.62690553,-20.497
683881.224220291,5092463.82373828,-20.501,45.96110119,-66.62690554,-20.501
683881.223346149,5092463.82704828,-20.506,45.96110122,-66.62690555,-20.506
683881.221730263,5092463.82922418,-20.509,45.96110124,-66.62690557,-20.509
683881.218432292,5092463.83579802,-20.503,45.9611013,-66.62690561,-20.503
683881.213650831,5092463.84010364,-20.495,45.96110134,-66.62690567,-20.495
683881.205836194,5092463.84209486,-20.486,45.96110136,-66.62690577,-20.486
683881.199604342,5092463.84302123,-20.477,45.96110137,-66.62690585,-20.477
683881.194246632,5092463.84063758,-20.467,45.96110135,-66.62690592,-20.467
683881.186729885,5092463.83262953,-20.453,45.96110128,-66.62690602,-20.453
683881.18547809,5092463.82258409,-20.441,45.96110119,-66.62690604,-20.441
683881.184226294,5092463.81253866,-20.434,45.9611011,-66.62690606,-20.434
683881.187722859,5092463.79929863,-20.431,45.96110098,-66.62690602,-20.431
683881.194351901,5092463.78503991,-20.422,45.96110085,-66.62690594,-20.422
683881.200007504,5092463.77742428,-20.409,45.96110078,-66.62690587,-20.409
683881.205696205,5092463.76869763,-20.401,45.9611007,-66.6269058,-20.401
683881.206636546,5092463.76316556,-20.393,45.96110065,-66.62690579,-20.393
683881.209060375,5092463.75990172,-20.386,45.96110062,-66.62690576,-20.386
683881.203768863,5092463.75529602,-20.379,45.96110058,-66.62690583,-20.379
683881.197735606,5092463.7495562,-20.361,45.96110053,-66.62690591,-20.361
683881.18634464,5092463.74143273,-20.346,45.96110046,-66.62690606,-20.346
683881.175827816,5092463.72999926,-20.32,45.96110036,-66.6269062,-20.32
683881.164701642,5092463.71298755,-20.293,45.96110021,-66.62690635,-20.293
683881.154350312,5092463.69599893,-20.264,45.96110006,-66.62690649,-20.264
683881.145449374,5092463.68238956,-20.237,45.96109994,-66.62690661,-20.237
683881.138939165,5092463.66662739,-20.206,45.9610998,-66.6269067,-20.206
683881.135495234,5092463.65206858,-20.173,45.96109967,-66.62690675,-20.173
683881.132018203,5092463.6386208,-20.14,45.96109955,-66.6269068,-20.14
683881.128508074,5092463.62628405,-20.105,45.96109944,-66.62690685,-20.105
683881.125805887,5092463.61285935,-20.075,45.96109932,-66.62690689,-20.075
683881.127011019,5092463.59843904,-20.045,45.96109919,-66.62690688,-20.045
683881.126500969,5092463.58952772,-20.011,45.96109911,-66.62690689,-20.011
683881.126024017,5092463.57950537,-19.984,45.96109902,-66.6269069,-19.984
683881.122646283,5092463.5627245,-19.954,45.96109887,-66.62690695,-19.954
683881.119169254,5092463.54927672,-19.926,45.96109875,-66.626907,-19.926
683881.117208812,5092463.53698613,-19.898,45.96109864,-66.62690703,-19.898
683881.114506625,5092463.52356144,-19.869,45.96109852,-66.62690707,-19.869
683881.11322173,5092463.51462703,-19.846,45.96109844,-66.62690709,-19.846
683881.109546105,5092463.50784543,-19.825,45.96109838,-66.62690714,-19.825
683881.103645244,5092463.49766149,-19.799,45.96109829,-66.62690722,-19.799
683881.10084376,5092463.48756989,-19.775,45.9610982,-66.62690726,-19.775
683881.097201233,5092463.47967726,-19.754,45.96109813,-66.62690731,-19.754
683881.091942821,5092463.47396052,-19.733,45.96109808,-66.62690738,-19.733
683881.089008941,5092463.46831304,-19.711,45.96109803,-66.62690742,-19.711
683881.085300216,5092463.46264246,-19.691,45.96109798,-66.62690747,-19.691
683881.083174278,5092463.45590703,-19.675,45.96109792,-66.6269075,-19.675
683881.079300058,5092463.45579161,-19.663,45.96109792,-66.62690755,-19.663
