,X,Y,H
0,683883.0022484359,5092464.569557635,-15.60171050679785
1,683882.9838039915,5092464.638890967,-15.615710506726625
2,683882.9207262148,5092464.771668743,-15.708110506655384
3,683882.9950928813,5092464.854168744,-15.93801050656988
4,683883.1007039926,5092465.037446521,-16.11741050649861
5,683883.1325595488,5092465.021446521,-16.325510506427328
6,683883.1618039934,5092465.003279853,-16.550510506356037
7,683883.2429706609,5092464.955835408,-16.73198828427047
8,683883.2566817721,5092465.068113185,-16.61968828419915
9,683883.1726484396,5092464.833557629,-16.248566061127814
10,683883.1023706621,5092464.86016874,-16.27198828405647
11,683883.0731706623,5092464.7891131835,-16.52636606097084
12,683883.0392817737,5092464.65277985,-16.506066060899464
13,683883.066615107,5092464.536446516,-16.378210505828076
14,683883.0754817745,5092464.468390959,-16.45138828375668
15,683883.1770039969,5092464.533779847,-16.448888283670982
16,683883.3205262204,5092464.5735576255,-16.338910505599554
17,683883.3675262209,5092464.581890958,-16.231266060528117
18,683883.2950928872,5092464.484057624,-16.131288283456666
19,683883.2229928875,5092464.485057623,-15.739510505370903
20,683883.222581777,5092464.619613179,-15.741210505299422
21,683883.2383817774,5092464.609002067,-15.82161050522793
22,683883.2203706667,5092464.659390955,-16.125110505156425
23,683883.3163484451,5092464.6762242885,-16.423732727084907
24,683883.2101595565,5092464.734390954,-16.42365494899907
25,683883.2068040009,5092464.676557621,-16.284054948927523
26,683883.2943484464,5092464.563279842,-16.373377170855964
27,683883.3021262246,5092464.575168732,-16.580977170784394
28,683883.3065040022,5092464.652890952,-16.68869939371281
29,683883.2146040025,5092464.776335396,-16.733999393641213
30,683883.1784262258,5092464.866335396,-16.72872161555528
31,683883.2504706704,5092464.855779839,-16.674421615483656
32,683883.1421484486,5092464.756946506,-15.812666059412019
33,683883.0385706711,5092464.611668727,-15.78066605934037
34,683883.0964595606,5092464.667390948,-15.882310504268707
35,683883.1800373389,5092464.604002059,-16.126110504197033
36,683883.2104595613,5092464.639168724,-16.366832726111006
37,683883.1762373395,5092464.625168725,-16.6197549480393
38,683883.1502373401,5092464.638890946,-16.806654947967587
39,683883.1521595626,5092464.670002056,-16.818154947895856
40,683883.1810484518,5092464.447668724,-16.572677169824118
41,683883.2031595632,5092464.46533539,-16.487399392752366
42,683883.1940928965,5092464.455002055,-16.587899392680598
43,683883.1599262309,5092464.532668721,-16.37622161459446
44,683883.0989595643,5092464.520613165,-16.306743836522664
45,683883.0175484536,5092464.537113165,-16.441743836450854
46,683883.0611373433,5092464.629057609,-16.394966058379037
47,683882.9888040094,5092464.634002052,-16.218966058307203
48,683882.9399928988,5092464.807502052,-16.263466058235355
49,683883.1091595663,5092464.85600205,-16.5651660581635
50,683883.1364484555,5092464.842946496,-16.55976605809163
51,683883.127259567,5092464.869779828,-16.304966058019744
52,683883.1876040113,5092464.93250205,-16.179443835933466
53,683883.1959706788,5092464.728224272,-16.139443835861556
54,683883.1519929011,5092464.606668714,-16.50834383578963
55,683883.2316373466,5092464.571390937,-16.644143835717696
56,683883.142237347,5092464.47322427,-16.192721613645745
