,X,Y,H,Vx,Vy,Vh
22,683895.9876,5092471.092,28.0301581,0.602534167,0.571409776,0.60777501
23,683896.0698,5092471.094,27.74182866,0.603244919,0.569799365,0.608025038
24,683895.9892,5092471.141,27.69805101,0.602571067,0.570082684,0.608301893
25,683895.981,5092471.096,27.79760574,0.601770998,0.571649641,0.608341287
26,683896.0542,5092470.996,27.72303968,0.60141705,0.573514366,0.608604943
27,683896.0679,5092470.996,27.53517252,0.60035477,0.576241699,0.608639022
28,683896.0753,5092471.061,27.41704153,0.599967191,0.579099738,0.60890063
29,683895.9995,5092471.173,27.35549862,0.599387697,0.581761508,0.608933949
30,683895.962,5092471.264,27.34292007,0.599298805,0.584167677,0.609195255
31,683896.0185,5092471.269,27.38030314,0.59876749,0.586294717,0.609228453
32,683895.9305,5092471.191,28.11431577,0.597953311,0.589125729,0.609737974
33,683895.8352,5092471.061,28.21548525,0.59759367,0.591528485,0.609798983
34,683895.8739,5092471.093,28.15623899,0.59727354,0.593158472,0.610319277
35,683895.9481,5092471.039,27.94628312,0.595976688,0.593700592,0.610384673
36,683895.9848,5092471.063,27.71377215,0.595070353,0.593597198,0.610658673
37,683895.9641,5092471.052,27.46267684,0.594922202,0.593874659,0.61094496
38,683895.9446,5092471.063,27.26372108,0.594615369,0.593914286,0.610988063
39,683895.9475,5092471.088,27.21881069,0.595556462,0.593681955,0.6110052
40,683895.9764,5092470.899,27.41066361,0.597136387,0.592667555,0.611260146
41,683896.0031,5092470.892,27.4955215,0.598828739,0.591306975,0.611538859
42,683896.0047,5092470.875,27.41880727,0.600565651,0.589631166,0.611578897
43,683895.9819,5092470.935,27.58976078,0.602320235,0.587900942,0.61184292
44,683895.933,5092470.927,27.66133735,0.6043299,0.586148874,0.612125234
45,683895.8628,5092470.938,27.55384533,0.606866439,0.584884442,0.612166695
46,683895.8965,5092471.015,27.5812458,0.608974999,0.583672598,0.612431249
47,683895.8405,5092471.025,27.72783781,0.611054546,0.582729446,0.612465755
48,683895.7982,5092471.174,27.70104822,0.613618829,0.581574697,0.612479393
49,683895.9421,5092471.228,27.4404028,0.616234627,0.580654147,0.612484732
50,683895.984,5092471.225,27.41345247,0.618374437,0.57950799,0.612486909
51,683895.9891,5092471.248,27.61628345,0.619474107,0.578094888,0.612487842
52,683896.047,5092471.305,27.73683521,0.619450842,0.577390622,0.612240117
53,683896.0652,5092471.136,27.78432372,0.619263947,0.576507572,0.612212299
54,683896.0345,5092471.016,27.47472509,0.61876407,0.576120693,0.612201164
55,683896.1036,5092470.968,27.32433991,0.618458736,0.575541693,0.612196785
56,683896.0375,5092470.873,27.68144526,0.619152204,0.575452888,0.611947116
57,683896.0673,5092470.833,27.68456576,0.620704427,0.575417769,0.611670382
58,683896.0673,5092470.995,27.55656847,0.621889615,0.576148462,0.61163104
59,683896.1221,5092470.965,27.29546548,0.622325979,0.576970802,0.611367318
60,683896.1499,5092470.997,27.0335698,0.62267664,0.577581837,0.611085096
61,683896.1531,5092471.086,27.16462585,0.623241387,0.579419916,0.611043729
